airport_code,city_name,code4,latitude,longitude,altitude_ft
GEG,spokane,KGEG,47.61989974975586,-117.53399658203124,2376
HWO,hollywood,KHWO,26.0011997223,-80.24069976810001,8
SFO,san,KSFO,37.61899948120117,-122.375,13
CTB,cutbank,KCTB,48.6083984375,-112.375999451,3854
ARA,louisiana,KARA,30.0378,-91.883904,24
GNV,gainesville,KGNV,29.6900997162,-82.27179718020001,152
MEM,memphis,KMEM,35.04240036010742,-89.97669982910156,341
DUG,douglas,KDUG,31.4689998627,-109.60399627700001,4154
BIG,delta,PABI,63.994499206499995,-145.722000122,1291
CNW,waco,KCNW,31.6378002167,-97.07409667969999,470
ANN,annette,PANT,55.04240036010742,-131.57200622558594,119
CAR,caribou,KCAR,46.8714981079,-68.0178985596,626
LRF,jacksonville,KLRF,34.916900634799994,-92.14969635010002,311
HUA,redstone,KHUA,34.67869949,-86.68479919,684
POB,fort,KPOB,35.1708984375,-79.014503479004,217
DHT,dalhart,KDHT,36.0225982666,-102.54699707,3991
DLF,del,KDLF,29.359500885,-100.77799987799999,1082
LAX,los,KLAX,33.94250107,-118.40799709999999,125
ANB,anniston,KANB,33.58819962,-85.85810089,612
CLE,cleveland,KCLE,41.411701202399996,-81.8498001099,791
DOV,dover,KDOV,39.12950134,-75.46600342,24
CVG,cincinnati,KCVG,39.0488014221,-84.6678009033,896
FME,fort,KFME,39.08539962769999,-76.7593994141,150
NID,china,KNID,35.6853981,-117.6920013,2283
HON,huron,KHON,44.38520050048828,-98.22850036621094,1289
JNU,juneau,PAJN,58.35499954223633,-134.57600402832028,21
LFT,lafayette,KLFT,30.20529938,-91.98760223,42
EWR,newark,KEWR,40.69250106811523,-74.168701171875,18
BOI,boise,KBOI,43.56439972,-116.22299960000001,2871
INS,indian,KINS,36.5872001648,-115.672996521,3133
GCK,garden,KGCK,37.9275016785,-100.72399902299999,2891
MOT,minot,KMOT,48.2593994140625,-101.27999877929688,1716
HHI,wahiawa,PHHI,21.48349953,-158.03999330000002,837
MXF,montgomery,KMXF,32.38290023803711,-86.36579895019531,171
DAL,dallas,KDAL,32.84709930419922,-96.85179901123048,487
FCS,fort,KFCS,38.67839813,-104.75700379999999,5838
HLN,helena,KHLN,46.6068000793457,-111.98300170898438,3877
NKX,miramar,KNKX,32.86840057,-117.1429977,477
LUF,phoenix,KLUF,33.534999847399995,-112.383003235,1085
HHR,hawthorne,KHHR,33.922798,-118.334999,66
HUL,houlton,KHUL,46.123100280799996,-67.79209899899999,489
END,enid,KEND,36.339199066199996,-97.9164962769,1307
NTD,point,KNTD,34.120300293,-119.12100219700001,13
EDW,edwards,KEDW,34.905398999999996,-117.884003,2312
LCH,lake,KLCH,30.12610054016113,-93.22329711914062,15
KOA,kona,PHKO,19.738800048828125,-156.04600524902344,47
MYR,myrtle,KMYR,33.6796989441,-78.9282989502,25
NLC,lemoore,KNLC,36.33300018,-119.95200349999999,232
ACK,nantucket,KACK,41.25310135,-70.06020355,47
FAF,fort,KFAF,37.1324996948,-76.60880279540002,12
HOP,hopkinsville,KHOP,36.668598175,-87.49620056150002,573
DCA,washington,KDCA,38.8521,-77.037697,15
NHK,patuxent,KNHK,38.28599929999999,-76.41179657,39
PSX,palacios,KPSX,28.727500915527,-96.25099945068399,14
BYH,blytheville,KBYH,35.9642982483,-89.94400024410002,254
ACY,atlantic,KACY,39.45759963989258,-74.57720184326172,75
TIK,oklahoma,KTIK,35.414699554443004,-97.386596679688,1291
ECG,elizabeth,KECG,36.26060104,-76.17459869,12
PUB,pueblo,KPUB,38.289100646972656,-104.49700164794922,4726
PQI,presque,KPQI,46.68899918,-68.0447998,534
IKR,kirtland,KIKR,35.040222,-106.60919399999999,5355
GRF,fort,KGRF,47.07920074,-122.5810013,300
ADQ,kodiak,PADQ,57.75,-152.4940033,78
UPP,opolu,PHUP,20.265300750732425,-155.86000061035156,96
FLL,fort,KFLL,26.072599411010746,-80.15270233154297,9
MKO,muskogee,KMKO,35.65650177,-95.36669922,611
INL,international,KINL,48.566200256347656,-93.4030990600586,1185
SLC,salt,KSLC,40.78839874267578,-111.97799682617188,4227
CDS,childress,KCDS,34.4337997437,-100.288002014,1954
BIX,biloxi,KBIX,30.4104003906,-88.92440032959999,33
LSF,fort,KLSF,32.337299346900004,-84.9913024902,232
NQI,kingsville,KNQI,27.5072002411,-97.8097000122,50
FRI,fort,KFRI,39.05530167,-96.76450348,1065
MDT,harrisburg,KMDT,40.1935005188,-76.7633972168,310
LNK,lincoln,KLNK,40.85100173950195,-96.75920104980469,1219
LAN,lansing,KLAN,42.77870178222656,-84.58740234375,861
MUE,kamuela,PHMU,20.001300811767575,-155.66799926757812,2671
MSS,massena,KMSS,44.93579864501953,-74.84559631347656,215
HKY,hickory,KHKY,35.74110031,-81.38950348,1190
SPG,petersburg,KSPG,27.765100479125977,-82.62699890136719,7
FMY,fort,KFMY,26.58659935,-81.86329650879998,17
IAH,houston,KIAH,29.98439979553223,-95.34140014648438,97
MLT,millinocket,KMLT,45.64780044555664,-68.68560028076172,408
ADW,camp,KADW,38.810798645,-76.86699676510001,280
INT,winston,KINT,36.13370132446289,-80.22200012207031,969
VCV,victorville,KVCV,34.597499847399995,-117.383003235,2885
CEW,crestview,KCEW,30.778799056999997,-86.522102356,213
GTB,fort,KGTB,44.05559921,-75.71949768,688
PHN,port,KPHN,42.91099929999999,-82.52890015,650
BFL,bakersfield,KBFL,35.43360138,-119.0569992,510
ELP,paso,KELP,31.80719948,-106.37799840000002,3959
HRL,harlingen,KHRL,26.228500366210934,-97.65440368652344,36
CAE,columbia,KCAE,33.93880081176758,-81.11949920654297,236
DMA,tucson,KDMA,32.1665000916,-110.883003235,2704
NPA,pensacola,KNPA,30.35269928,-87.31860352,28
PNS,pensacola,KPNS,30.473400115967003,-87.18659973144501,121
RDR,red,KRDR,47.961101532,-97.4011993408,913
HOU,houston,KHOU,29.64539909,-95.27890015,46
BKF,buckley,KBKF,39.701698303200004,-104.75199890100001,5662
ORT,northway,PAOR,62.96129989999999,-141.9290009,1715
PAQ,palmer,PAAQ,61.59489822387695,-149.08900451660156,242
PIT,pittsburgh,KPIT,40.49150085,-80.23290253,1203
BRW,barrow,PABR,71.285402,-156.766008,44
EFD,houston,KEFD,29.6072998047,-95.15879821780001,32
NUW,whidbey,KNUW,48.35179901,-122.65599820000001,47
ALI,alice,KALI,27.740900039699998,-98.02690124510002,178
VAD,valdosta,KVAD,30.967800140399998,-83.1930007935,233
MIA,miami,KMIA,25.79319953918457,-80.29060363769531,8
SEA,seattle,KSEA,47.44900131225586,-122.30899810791016,433
CHA,chattanooga,KCHA,35.03530120849609,-85.20379638671875,683
BDR,stratford,KBDR,41.16350173950195,-73.1261978149414,9
JAN,jackson,KJAN,32.3111991882,-90.0758972168,346
GLS,galveston,KGLS,29.265300750732425,-94.8603973388672,6
LGB,long,KLGB,33.81769943,-118.15200039999999,60
HDH,dillingham,PHDH,21.5795001984,-158.197006226,14
IPT,williamsport,KIPT,41.241798400878906,-76.92109680175781,529
IND,indianapolis,KIND,39.7173,-86.294403,797
SZL,knobnoster,KSZL,38.73030090332,-93.547897338867,870
AKC,akron,KAKR,41.0374984741,-81.46690368649999,1067
GWO,greenwood,KGWO,33.4943008423,-90.08470153809999,162
HPN,white,KHPN,41.06700134277344,-73.70760345458984,439
FOK,hampton,KFOK,40.8437004089,-72.6317977905,67
JBR,jonesboro,KJBR,35.83169937133789,-90.64640045166016,262
LNA,palm,KLNA,26.59300041,-80.08509827,14
NZY,san,KNZY,32.69919968,-117.2149963,26
BIF,paso,KBIF,31.84950066,-106.3799973,3946
YUM,yuma,KNYL,32.65660095,-114.6060028,213
CNM,carlsbad,KCNM,32.337501525878906,-104.26300048828124,3295
DLH,duluth,KDLH,46.8420982361,-92.19360351559999,1428
BET,bethel,PABE,60.77980042,-161.8379974,126
LOU,louisville,KLOU,38.2280006409,-85.6636962891,546
FHU,fort,KFHU,31.58849906921387,-110.34400177001952,4719
LIH,lihue,PHLI,21.97599983215332,-159.33900451660156,153
HUF,terre,KHUF,39.45149993896485,-87.30760192871094,589
HVR,havre,KHVR,48.54299927,-109.762001,2591
MWH,grant,KMWH,47.20769882,-119.3199997,1189
MPV,montpelier,KMPV,44.20349884,-72.56230164,1166
RIC,richmond,KRIC,37.50519943237305,-77.3197021484375,167
SHV,shreveport,KSHV,32.44660186767578,-93.82559967041016,258
CDV,cordova,PACV,60.49179839999999,-145.4779968,54
ORF,norfolk,KORF,36.89459991455078,-76.20120239257812,26
BPT,beaumont,KBPT,29.9507999420166,-94.02069854736328,15
SAV,savannah,KSAV,32.12760162,-81.20210266,50
HIF,ogden,KHIF,41.12403,-111.97308600000001,4789
OME,nome,PAOM,64.51219940185547,-165.44500732421875,37
PIE,petersburg,KPIE,27.91020012,-82.68740082,11
MNM,macon,KMNM,45.12670135498047,-87.63839721679688,625
CXO,conroe,KCXO,30.351800918600002,-95.41449737549999,245
SCC,deadhorse,PASC,70.19470215,-148.46499630000002,65
SAT,san,KSAT,29.533700942993164,-98.46980285644531,809
ROC,rochester,KROC,43.118900299072266,-77.67240142822266,559
COF,coco,KCOF,28.2348995209,-80.6100997925,8
TEB,teterboro,KTEB,40.85010147089999,-74.060798645,9
RCA,rapid,KRCA,44.14500046,-103.1039963,3276
RDU,raleigh,KRDU,35.877601623535156,-78.7874984741211,435
DAY,dayton,KDAY,39.90240097045898,-84.21939849853516,1009
ENA,kenai,PAEN,60.57310104370117,-151.2449951171875,99
MLC,mcalester,KMLC,34.88240051,-95.78350067,770
IAG,niagara,KIAG,43.1072998046875,-78.94619750976562,589
CFD,bryan,KCFD,30.715700149499998,-96.3313980103,367
PHF,newport,KPHF,37.13190079,-76.49299622,42
ESF,alexandria,KESF,31.3948993683,-92.29579925540001,112
LTS,altus,KLTS,34.667098999000004,-99.26670074459999,1382
TUS,tucson,KTUS,32.116100311279304,-110.94100189208984,2643
MIB,minot,KMIB,48.41559982,-101.3580017,1667
BAB,marysville,KBAB,39.136100769,-121.43699646,113
IKK,kankakee,KIKK,41.07139968869999,-87.84629821780001,630
GSB,goldsboro,KGSB,35.33940125,-77.96060181,109
PVD,providence,KPVD,41.73260116577149,-71.42040252685547,55
SBY,salisbury,KSBY,38.34049987792969,-75.51029968261719,52
RIU,rancho,KRIU,38.48680114746094,-121.10299682617188,141
BUR,burbank,KBUR,34.200698852539055,-118.35900115966795,778
DTW,detroit,KDTW,42.212398529052734,-83.35340118408203,645
TPA,tampa,KTPA,27.975500106811523,-82.533203125,26
PMB,pembina,KPMB,48.94250106810001,-97.2407989502,795
POE,fort,KPOE,31.044799800000003,-93.1917038,330
EIL,fairbanks,PAEI,64.66570282,-147.102005,547
HIB,hibbing,KHIB,47.38660049,-92.83899689,1354
LFK,lufkin,KLFK,31.2339992523,-94.75,296
MAF,midland,KMAF,31.9424991607666,-102.2020034790039,2871
GRB,green,KGRB,44.48509979248047,-88.12960052490234,695
ADM,ardmore,KADM,34.30301,-97.01963420000001,777
WRI,wrightstown,KWRI,40.01559829999999,-74.59169769,131
SBO,santa,KSBO,32.609100341796875,-82.36990356445312,327
AGS,bush,KAGS,33.36989974975586,-81.9645004272461,144
ISN,williston,KISN,48.177898407,-103.64199829100001,1982
LIT,little,KLIT,34.729400634799994,-92.22429656979999,262
SWF,newburgh,KSWF,41.50410079956055,-74.10479736328125,491
BDE,baudette,KBDE,48.7284011841,-94.61219787600001,1086
SAC,sacramento,KSAC,38.5125007629,-121.49299621600001,24
HOM,homer,PAHO,59.64559936523438,-151.4770050048828,84
TBN,fort,KTBN,37.74160004,-92.14070129,1159
MGE,marietta,KMGE,33.91540146,-84.51629639,1068
SKA,spokane,KSKA,47.6151008606,-117.65599823,2461
HTL,houghton,KHTL,44.359798,-84.671095,1150
PAM,panama,KPAM,30.0695991516,-85.57540130619998,17
DFW,dallas,KDFW,32.896800994873054,-97.03800201416016,607
MLB,melbourne,KMLB,28.10280036926269,-80.64530181884766,33
TCM,tacoma,KTCM,47.1376991272,-122.475997925,322
AUS,austin,KAUS,30.194499969482425,-97.6698989868164,542
LCK,columbus,KLCK,39.813801,-82.927803,744
MQT,gwinn,KSAW,46.3535995483,-87.39540100100001,1221
TYS,knoxville,KTYS,35.81100082,-83.99400329999999,981
HLR,fort,KHLR,31.1387004852,-97.7145004272,924
STL,louis,KSTL,38.74869918823242,-90.37000274658205,618
MIV,millville,KMIV,39.36780166625977,-75.07219696044922,85
SPS,wichita,KSPS,33.98880005,-98.49189758,1019
LUK,cincinnati,KLUK,39.10329819,-84.41860199,483
ATL,atlanta,KATL,33.63669967651367,-84.4281005859375,1026
MER,merced,KMER,37.38050079,-120.5680008,191
MCC,sacramento,KMCC,38.66759872,-121.40100100000001,77
GRR,grand,KGRR,42.88079834,-85.52279663,794
INK,wink,KINK,31.779600143400003,-103.20099639899999,2822
FAT,fresno,KFAT,36.77619934082031,-119.71800231933594,336
VRB,vero,KVRB,27.655599594116,-80.417900085449,24
IPL,imperial,KIPL,32.834201812699995,-115.57900238,-54
BNA,nashville,KBNA,36.1245002746582,-86.6781997680664,599
LRD,laredo,KLRD,27.543800354003906,-99.46160125732422,508
EDF,anchorage,PAED,61.2509994506836,-149.8070068359375,212
OTZ,kotzebue,PAOT,66.88469696,-162.598999,14
AOO,altoona,KAOO,40.29639816,-78.31999969,1503
DYS,abilene,KDYS,32.4207992554,-99.85459899899999,1789
ELD,dorado,KELD,33.22100067138672,-92.81330108642578,277
LGA,new,KLGA,40.77719879,-73.87259674,21
TLH,tallahassee,KTLH,30.396499633789066,-84.35030364990234,81
DPA,chicago,KDPA,41.90779877,-88.24859619,759
ACT,waco,KACT,31.61129951477051,-97.23049926757812,516
AUG,augusta,KAUG,44.320598602299995,-69.7973022461,352
INJ,hillsboro,KINJ,32.08349991,-97.09719849,686
NIP,jacksonville,KNIP,30.23579979,-81.68060303,21
MKL,jackson,KMKL,35.59989929,-88.91560364,434
MKK,molokai,PHMK,21.15290069580078,-157.0959930419922,454
FTK,fort,KFTK,37.9071006775,-85.9720993042,756
SJT,san,KSJT,31.35770034790039,-100.49600219726562,1919
CXL,calexico,KCXL,32.6694984436,-115.51300048799999,4
CIC,chico,KCIC,39.79539871,-121.8580017,240
BTV,burlington,KBTV,44.471900939899996,-73.15329742429998,335
JAX,jacksonville,KJAX,30.49410057067871,-81.68789672851562,30
DRO,durango,KDRO,37.1515007019,-107.75399780299999,6685
IAD,washington,KIAD,38.94449997,-77.45580292,312
CLL,college,KCLL,30.58860016,-96.36380005,320
SFF,spokane,KSFF,47.682800292969,-117.32299804688,1953
MKE,milwaukee,KMKE,42.94720077514648,-87.89659881591797,723
ABI,abilene,KABI,32.4113006592,-99.68190002440001,1791
COU,columbia,KCOU,38.81809997558594,-92.21959686279295,889
PDX,portland,KPDX,45.58869934,-122.59799960000001,31
TNT,miami,KTNT,25.861799240112,-80.897003173828,13
PBI,palm,KPBI,26.68320083618164,-80.09559631347656,19
FTW,fort,KFTW,32.8198013306,-97.36239624019998,710
OGS,ogdensburg,KOGS,44.681900024399994,-75.46549987790002,297
FMH,falmouth,KFMH,41.6584014893,-70.5214004517,131
BFI,seattle,KBFI,47.52999877929688,-122.302001953125,21
SKF,san,KSKF,29.38419914,-98.58110046,691
HNL,honolulu,PHNL,21.318700790405273,-157.9219970703125,13
DSM,des,KDSM,41.53400039672852,-93.66310119628906,958
EWN,new,KEWN,35.0730018616,-77.04290008539998,18
SAN,san,KSAN,32.7336006165,-117.190002441,17
MLU,monroe,KMLU,32.51089859008789,-92.0376968383789,79
SSC,sumter,KSSC,33.97269821,-80.47059631,241
ONT,ontario,KONT,34.05599975585937,-117.60099792480469,944
GVT,greenvile,KGVT,33.0677986145,-96.0652999878,535
ROW,roswell,KROW,33.30160140991211,-104.53099822998048,3671
DET,detroit,KDET,42.40919876,-83.00990295,626
BRO,brownsville,KBRO,25.90679931640625,-97.4259033203125,22
DHN,dothan,KDHN,31.3213005065918,-85.44960021972656,401
WWD,wildwood,KWWD,39.008499145500004,-74.9083023071,23
NFL,fallon,KNFL,39.41659927,-118.70099640000001,3934
MTC,mount,KMTC,42.608299255371094,-82.83550262451172,580
FMN,farmington,KFMN,36.7411994934,-108.230003357,5506
CRP,corpus,KCRP,27.77039909362793,-97.5011978149414,44
SYR,syracuse,KSYR,43.11119842529297,-76.1063003540039,421
NQX,key,KNQX,24.57579994,-81.68890381,6
MDW,chicago,KMDW,41.7859992980957,-87.75240325927734,620
SJC,san,KSJC,37.36259841918945,-121.9290008544922,62
HOB,hobbs,KHOB,32.6875,-103.21700290000001,3661
PNE,philadelphia,KPNE,40.08190155,-75.01059723,120
DEN,denver,KDEN,39.861698150635,-104.672996521,5431
PHL,philadelphia,KPHL,39.87189865112305,-75.24109649658203,36
SUX,sioux,KSUX,42.40259933,-96.38439941,1098
MCN,macon,KMCN,32.692798614501946,-83.64920043945312,354
TCS,truth,KTCS,33.2369003296,-107.27200317399999,4853
PMD,palmdale,KPMD,34.62939835,-118.08499909999999,2543
RND,san,KRND,29.52969933,-98.27890015,761
NJK,centro,KNJK,32.829200744628906,-115.6719970703125,-42
CMH,columbus,KCMH,39.99800109863281,-82.89189910888672,815
FYV,fayetteville,KFYV,36.00510025024414,-94.17009735107422,1251
FSI,fort,KFSI,34.64979935,-98.40219879,1189
PNM,princeton,KPNM,45.55989838,-93.60820007,980
FFO,dayton,KFFO,39.8260993958,-84.04830169680001,823
GAL,galena,PAGA,64.73619843,-156.93699650000002,153
MWL,mineral,KMWL,32.7816009521,-98.0602035522,974
IAB,wichita,KIAB,37.62189865,-97.26820374,1371
NBG,new,KNBG,29.82530022,-90.03500366,2
BFT,beaufort,KARW,32.4122009277,-80.6343994141,10
TXK,texarkana,KTXK,33.45370101928711,-93.99099731445312,390
PBG,plattsburgh,KPBG,44.6509017944336,-73.46810150146484,234
APG,aberdeen,KAPG,39.466202,-76.1688,57
TCC,tucumcari,KTCC,35.182800293,-103.60299682600001,4065
ANC,anchorage,PANC,61.174400329589844,-149.99600219726562,152
GRK,killeen,KGRK,31.067199706999997,-97.8289031982,1015
ZUN,zuni,KZUN,35.08319854736328,-108.79199981689452,6454
BLI,bellingham,KBLI,48.79280090332031,-122.53800201416016,170
NQA,millington,KNQA,35.356700897217,-89.87030029296899,320
EKN,elkins,KEKN,38.88940048,-79.85710144,1987
HFD,hartford,KHFD,41.736698150635,-72.64939880371101,18
SFZ,smithfield,KSFZ,41.9207992554,-71.49140167239999,441
MOB,mobile,KMOB,30.691200256348,-88.242797851562,219
NUQ,mountain,KNUQ,37.416099548339844,-122.04900360107422,32
SAF,santa,KSAF,35.617099761999995,-106.08899688700001,6348
BKH,barking,PHBK,22.022800445599998,-159.785003662,23
DRI,deridder,KDRI,30.8316993713,-93.3398971558,202
BSF,bradshaw,PHSF,19.760099411,-155.554000854,6190
OLS,nogales,KOLS,31.41769981384277,-110.8479995727539,3955
MCF,tampa,KMCF,27.84930038,-82.52120209,14
BLV,belleville,KBLV,38.5452,-89.835197,459
OPF,miami,KOPF,25.90699959,-80.27839661,8
DRT,del,KDRT,29.3742008209,-100.92700195299999,1002
RSW,fort,KRSW,26.53619956970215,-81.75520324707031,30
AKN,king,PAKN,58.67679977,-156.6490021,73
MUI,muir,KMUI,40.43479919,-76.56939697,488
JHM,lahania,PHJH,20.962900161743164,-156.67300415039062,256
JFK,new,KJFK,40.63980103,-73.77890015,13
HST,homestead,KHST,25.48859978,-80.38359833,5
RAL,riverside,KRAL,33.95190048,-117.4449997,819
FLV,fort,KFLV,39.3683013916,-94.9147033691,772
WAL,wallops,KWAL,37.9402008057,-75.46640014649999,40
HMN,alamogordo,KHMN,32.8525009155,-106.107002258,4093
NXX,willow,KNXX,40.19979858,-75.14820099,358
CYS,cheyenne,KCYS,41.15570068,-104.81199649999999,6159
SCK,stockton,KSCK,37.894199371338,-121.2379989624,33
CHS,charleston,KCHS,32.89860153,-80.04049683,46
RNO,reno,KRNO,39.49909973144531,-119.76799774169922,4415
KTN,ketchikan,PAKT,55.35559845,-131.7140045,89
YIP,detroit,KYIP,42.23789978,-83.53040314,716
VBG,lompoc,KVBG,34.7373008728,-120.583999634,369
BHM,birmingham,KBHM,33.56290054,-86.75350189,650
NEL,lakehurst,KNEL,40.03329849,-74.353302,101
SYA,shemya,PASY,52.71229935,174.1139984,95
LSV,las,KLSV,36.2361984253,-115.03399658200001,1870
RIV,riverside,KRIV,33.88069916,-117.2590027,1536
MOD,modesto,KMOD,37.62580109,-120.9540024,97
SMF,sacramento,KSMF,38.69540023803711,-121.59100341796876,27
UGN,chicago,KUGN,42.422199249268,-87.86789703369101,727
COS,colorado,KCOS,38.805801391602,-104.70099639893,6187
BUF,buffalo,KBUF,42.94049835,-78.73220062,728
SKY,sandusky,KSKY,41.4333992004,-82.6522979736,580
PAE,everett,KPAE,47.90629959,-122.28199769999999,606
MUO,mountain,KMUO,43.043597999999996,-115.872002,2996
CDC,cedar,KCDC,37.70100021362305,-113.0989990234375,5622
BDL,windsor,KBDL,41.9388999939,-72.68319702149999,173
MFE,mcallen,KMFE,26.17580032,-98.23860168,107
NGU,norfolk,KNGU,36.93759918,-76.28929901,17
CEF,chicopee,KCEF,42.19400024,-72.53479767,241
LBB,lubbock,KLBB,33.66360092163086,-101.822998046875,3282
ORD,chicago,KORD,41.97859955,-87.90480042,672
BCT,boca,KBCT,26.3784999847,-80.1076965332,13
FAI,fairbanks,PAFA,64.81510162,-147.85600280000003,439
NYG,quantico,KNYG,38.50170135,-77.30529785,10
CVS,clovis,KCVS,34.3828010559,-103.321998596,4295
NGF,kaneohe,PHNG,21.450500488299998,-157.76800537100002,24
OFF,omaha,KOFF,41.118301391602,-95.912498474121,1052
GKN,gulkana,PAGK,62.15489960000001,-145.4570007,1586
ART,watertown,KART,43.99190139770508,-76.02169799804688,325
PSP,palm,KPSP,33.829700469970696,-116.50700378417969,477
AMA,amarillo,KAMA,35.219398498535156,-101.70600128173828,3607
FOD,fort,KFOD,42.55149841,-94.19259644,1156
BAD,shreveport,KBAD,32.5018005371,-93.6626968384,166
FOE,topeka,KFOE,38.9509010315,-95.6635971069,1078
COT,cotulla,KCOT,28.45669937,-99.22029877,474
ILM,wilmington,KILM,34.27059936523437,-77.90260314941406,32
BTR,baton,KBTR,30.53319931,-91.14959717,70
NMM,meridian,KNMM,32.55210114,-88.55560303,316
TYR,tyler,KTYR,32.35409927368164,-95.40239715576172,544
BWI,baltimore,KBWI,39.17539978,-76.66829681,146
HBR,hobart,KHBR,34.991316999999995,-99.05131300000001,1563
LNY,lanai,PHNY,20.785600662231445,-156.9510040283203,1308
AEX,alexandria,KAEX,31.32740020751953,-92.54979705810548,89
WSD,white,KWSD,32.34149933,-106.40299990000001,3934
CDB,cold,PACD,55.20610046386719,-162.72500610351562,96
TUL,tulsa,KTUL,36.19839859008789,-95.88809967041016,677
SIT,sitka,PASI,57.04710006713867,-135.36199951171878,21
ISP,islip,KISP,40.79520035,-73.10019684,99
MSP,minneapolis,KMSP,44.8819999695,-93.22180175780001,841
ILG,wilmington,KILG,39.67869949,-75.60649872,80
DUT,unalaska,PADU,53.900100708000004,-166.54400634799998,22
MSY,new,KMSY,29.99340057373047,-90.25800323486328,4
PWM,portland,KPWM,43.64619827,-70.30930328,76
OKC,oklahoma,KOKC,35.39310073852539,-97.60070037841795,1295
ALB,albany,KALB,42.74829864501953,-73.80169677734375,285
VDZ,valdez,PAVD,61.13389969,-146.24800109999998,121
LFI,hampton,KLFI,37.082901000999996,-76.360496521,11
SNA,santa,KSNA,33.67570114,-117.86799620000001,56
CBM,colombus,KCBM,33.643798828099996,-88.44380187990002,219
TMB,kendall,KTMB,25.6478996277,-80.432800293,8
NTU,oceana,KNTU,36.8207016,-76.03350067,23
GUS,peru,KGUS,40.648101806599996,-86.15209960940001,812
CPR,casper,KCPR,42.90800095,-106.4639969,5350
VPS,valparaiso,KVPS,30.4832,-86.525398,87
SEM,selma,KSEM,32.343898773193004,-86.98780059814501,166
EYW,key,KEYW,24.556100845336914,-81.75959777832031,3
CLT,charlotte,KCLT,35.2140007019043,-80.94309997558594,748
LAS,las,KLAS,36.08010101,-115.15200039999999,2181
MCO,orlando,KMCO,28.429399490356445,-81.30899810791016,96
FLO,florence,KFLO,34.18539810180664,-79.7238998413086,146
GTF,great,KGTF,47.48199844,-111.3710022,3680
YNG,youngstown,KYNG,41.26070023,-80.67910004,1192
