Calcasieu Parish, Louisiana, Average Temperature
201208,82.7,0.6
201209,78.6,0.4
201210,68.2,-1.0
201211,59.7,0.4
201212,57.3,4.3
201301,54.0,2.5
201302,57.6,3.3
201303,57.5,-3.1
201304,65.3,-2.3
201305,72.9,-1.5
201306,81.8,1.4
201307,81.8,-0.5
201308,82.9,0.8
201309,80.8,2.6
201310,69.9,0.7
201311,56.8,-2.5
201312,50.5,-2.5
201401,45.6,-5.9
201402,52.2,-2.1
201403,56.5,-4.1
201404,67.1,-0.5
201405,72.3,-2.1
201406,80.2,-0.2
201407,81.4,-0.9
201408,82.2,0.1
201409,79.0,0.8
201410,70.7,1.5
201411,55.4,-3.9
201412,55.5,2.5
201501,48.3,-3.2
201502,50.8,-3.5
201503,61.6,1.0
201504,70.8,3.2
201505,76.2,1.8
201506,81.0,0.6
201507,84.0,1.7
201508,82.6,0.5
201509,78.5,0.3
201510,70.6,1.4
201511,64.3,5.0
201512,59.9,6.9
201601,50.5,-1.0
201602,57.0,2.7
201603,65.4,4.8
201604,69.2,1.6
201605,74.6,0.2
201606,81.4,1.0
201607,84.2,1.9
201608,82.7,0.6
201609,81.5,3.3
201610,72.4,3.2
201611,64.6,5.3
201612,57.2,4.2
201701,58.9,7.4
201702,63.7,9.4
201703,65.2,4.6
201704,70.0,2.4
201705,73.1,-1.3
201706,79.8,-0.6
201707,83.1,0.8
201708,81.6,-0.5
201709,78.8,0.6
201710,71.2,2.0
201711,63.9,4.6
201712,52.8,-0.2
201801,46.6,-4.9
201802,63.1,8.8
201803,64.7,4.1
201804,64.0,-3.6
201805,78.6,4.2
201806,82.8,2.4
201807,83.9,1.6
201808,83.2,1.1
201809,80.9,2.7
201810,72.2,3.0
201811,57.5,-1.8
201812,55.3,2.3
201901,51.7,0.2
201902,59.0,4.7
201903,60.7,0.1
201904,66.6,-1.0
201905,77.1,2.7
201906,80.9,0.5
201907,82.2,-0.1
201908,84.0,1.9
201909,82.3,4.1
201910,70.8,1.6
201911,56.8,-2.5
201912,55.9,2.9
202001,56.2,4.7
