Ward County, North Dakota, Average Temperature
201209,58.2,2.3
201210,39.9,-3.9
201211,25.7,-0.3
201212,10.9,-1.6
201301,10.2,4.2
201302,16.5,5.0
201303,14.0,-10.2
201304,28.9,-12.1
201305,52.2,-1.3
201306,62.7,0.2
201307,67.1,-1.4
201308,68.3,1.9
201309,61.6,5.7
201310,41.4,-2.4
201311,24.9,-1.1
201312,4.0,-8.5
201401,9.2,3.2
201402,4.8,-6.7
201403,21.9,-2.3
201404,37.6,-3.4
201405,53.2,-0.3
201406,61.5,-1.0
201407,66.0,-2.5
201408,67.2,0.8
201409,58.1,2.2
201410,46.7,2.9
201411,19.8,-6.2
201412,17.9,5.4
201501,16.7,10.7
201502,6.6,-4.9
201503,32.5,8.3
201504,44.1,3.1
201505,52.3,-1.2
201506,64.8,2.3
201507,69.8,1.3
201508,68.3,1.9
201509,60.8,4.9
201510,47.6,3.8
201511,32.5,6.5
201512,22.0,9.5
201601,15.7,9.7
201602,26.8,15.3
201603,36.1,11.9
201604,41.8,0.8
201605,57.6,4.1
201606,65.7,3.2
201607,69.3,0.8
201608,68.7,2.3
201609,57.7,1.8
201610,45.2,1.4
201611,38.9,12.9
201612,9.1,-3.4
201701,11.2,5.2
201702,19.5,8.0
201703,25.4,1.2
201704,42.4,1.4
201705,55.2,1.7
201706,64.0,1.5
201707,72.1,3.6
201708,65.7,-0.7
201709,58.0,2.1
201710,44.6,0.8
201711,24.8,-1.2
201712,15.7,3.2
201801,11.1,5.1
201802,5.0,-6.5
201803,22.9,-1.3
201804,31.9,-9.1
201805,60.3,6.8
201806,66.9,4.4
201807,69.0,0.5
201808,68.2,1.8
201809,53.1,-2.8
201810,39.0,-4.8
201811,22.7,-3.3
201812,20.7,8.2
201901,9.7,3.7
201902,-4.2,-15.7
201903,22.4,-1.8
201904,42.1,1.1
201905,49.8,-3.7
201906,63.7,1.2
201907,68.4,-0.1
201908,65.6,-0.8
201909,57.3,1.4
201910,37.7,-6.1
201911,25.7,-0.3
201912,16.7,4.2
202001,12.8,6.8
