airport_code,total_departure,average_departure_delay,average_departure_taxi,average_departure_cancelled,averge_departure_distance,total_arrival,average_arrival_delay,average_arrival_taxi,average_arrival_diverted,averge_arrival_distance,city,latitude,longitude,altitude_ft,city_id,temp_avg,pcp_avg
ATL,417449,10.86444287,21.97717353,0.012930921,617.2955163,417457,10.67902259,11.49378148,0.002879338,616.5261332,atlanta,33.63669968,-84.42810059,1026,17464,61.60871369,4.298174274
ATW,5303,3.455020313,12.19005225,0.025834433,290.972657,5306,5.582882535,4.204392217,0.003769318,290.9200905,appleton,44.2580986,-88.51909637,918,909,45.23568465,2.837593361
AUS,41843,5.92252352,11.91069452,0.006978467,705.5565089,41846,4.323136953,5.392103112,0.0016728,707.8332935,austin,30.19449997,-97.66989899,542,5600,68.31161826,2.910705394
AVL,4584,12.18364611,17.40671141,0.02486911,313.0493019,4585,5.684328191,3.522707035,0.00436205,312.8791712,asheville,35.43619919,-82.54180145,2165,7074,54.37385892,4.184647303
AVP,2142,4.880794702,14.22774621,0.014472456,520.9169001,2138,5.065279092,3.747641509,0.003274088,520.7441534,scranton,41.33850098,-75.7233963,962,10109,47.44315353,3.906929461
AZO,2953,2.430031724,12.56507937,0.039959363,140.9776498,2953,2.990482904,3.840732911,0.000677277,143.9075516,kalamazoo,42.23490143,-85.55210114,874,25295,48.94937759,3.186099585
BDL,23760,5.697255538,14.38650726,0.014436027,725.2510943,23754,4.593628394,5.253339023,0.0023154,730.4270018,windsor,41.93889999,-72.68319702,173,20036,50.24564315,4.124149378
BFL,3412,1.147380882,10.65383476,0.010257913,329.5920281,3411,2.064697194,4.384184125,0.001465846,329.6566989,bakersfield,35.43360138,-119.0569992,510,13984,62.53858921,0.670995851
BGM,678,-0.95281583,14.03975535,0.03539823,378,677,2.086757991,4.58030303,0.004431315,378,binghamton,42.20869827,-75.97979736,1636,9733,46.88672199,3.799917012
BGR,2640,9.702185792,19.62382813,0.03030303,446.2113636,2639,8.083592535,5.496506211,0.003789314,446.0920803,bangor,44.80739975,-68.82810211,192,20141,42.86348548,3.761576763
BHM,21200,8.442259973,13.20602415,0.011886792,488.1097642,21202,5.925389542,3.690426242,0.003160079,487.4498632,birmingham,33.56290054,-86.75350189,650,14439,62.74979253,4.648755187
BIL,3858,2.102302459,12.17874902,0.009590461,482.807154,3855,3.63548218,4.160648875,0.002075227,483.2225681,billings,45.80770111,-108.5429993,3652,26297,46.68257261,1.205103734
BIS,2806,1.581811541,11.12106803,0.025659301,488.2109765,2807,-0.184846266,3.924115286,0.004275027,488.1745636,bismarck,46.77270126,-100.7460022,1661,7421,41.60124481,1.531078838
BJI,54,0.351851852,11.18518519,0,199,55,-5.763636364,5.490909091,0,199,bemidji,47.50939941,-94.93370056,1391,24117,39.19958506,2.004481328
BKG,442,13.54109589,13.11187215,0.009049774,535.6289593,442,7.036613272,4.990888383,0.004524887,535.6289593,branson,36.531994,-93.200556,1302,23579,57.26721992,3.796016598
BLI,100,8.26,11.13,0,954,100,10.54,5.91,0,954,bellingham,48.7928009,-122.538002,170,387,44.73360996,5.976224066
BMI,4822,6.7675802,12.41641855,0.024885939,447.9842389,4824,6.5251219,4.046166878,0.001451078,447.9740879,bloomington,40.47710037,-88.91590118,871,15817,51.48506224,3.233817427
BNA,54114,7.801149833,11.82275834,0.010440921,644.4291681,54104,3.920040353,6.041931693,0.00164498,643.9271588,nashville,36.12450027,-86.67819977,599,8671,59.39170124,4.358713693
BOI,13578,3.725696503,10.69119609,0.006481072,520.3978495,13577,2.390940095,3.668592165,0.001988657,520.3584739,boise,43.56439972,-116.2229996,2871,19916,52.08962656,0.982655602
BOS,110460,6.84526694,19.54412831,0.025873619,851.5427847,110463,5.797931798,7.032124112,0.001149706,856.8245295,boston,42.36429977,-71.00520325,20,19203,50.7439834,4.095850622
BQK,956,7.191096634,11.64712269,0.036610879,238,957,8.33982684,3.132686084,0.004179728,238,brunswick,31.25880051,-81.46649933,26,17012,68.08672199,3.956099585
BRO,2241,3.161203413,10.94966292,0.00713967,354.9745649,2243,4.547877145,4.47029703,0.004904146,355.0102541,brownsville,25.90679932,-97.42590332,22,4201,75.06099585,2.077136929
BTM,689,-2.249262537,10.9159292,0.015965167,357,689,-0.836309524,4.183161004,0.013062409,357,butte,45.95479965,-112.4970016,5550,26437,40.03153527,1.453029046
BTR,8669,8.457035383,12.02223791,0.019840812,358.5145922,8669,6.991185803,4.084916725,0.002537778,358.4843696,baton,30.53319931,-91.14959717,70,5942,67.84771784,5.185850622
BTV,6028,6.98204607,17.05747711,0.022063703,460.770073,6021,4.248815968,4.56402027,0.001660854,456.3481149,burlington,44.47190094,-73.15329742,335,15459,44.64688797,3.672033195
BUF,24701,7.344823341,13.68931122,0.013724141,565.3837092,24698,4.892288108,4.402426528,0.002024455,566.3275974,buffalo,42.94049835,-78.73220062,728,9353,47.76680498,3.527012448
BUR,28034,4.619569542,11.13120093,0.014197046,493.5155169,28034,1.954677092,2.811058075,0.001640865,493.7010059,burbank,34.20069885,-118.3590012,778,13146,62.33319502,1.121120332
BWI,100923,9.403756855,13.28319018,0.010245435,701.5968808,100928,3.586953908,5.613675932,0.001704185,701.4181694,baltimore,39.17539978,-76.66829681,146,20595,54.89502075,4.028962656
BZN,3939,1.806410256,13.8227296,0.010662605,550.6930693,3939,1.89539964,4.629383158,0.006092917,548.6095456,bozeman,45.77750015,-111.1529999,4473,26240,40.18630705,2.004439834
CAE,10010,8.533142974,14.3089406,0.021378621,485.6482517,10012,8.794496727,4.004286589,0.002696764,476.2465042,columbia,33.93880081,-81.11949921,236,27331,63.66348548,3.766099585
CAK,8845,6.607663187,13.63665595,0.015715093,540.8888638,8843,8.507001837,4.4938696,0.002035508,540.7514418,akron,40.91609955,-81.44219971,1228,21498,50.80912863,3.382614108
CDC,627,-2.988745981,11.42604502,0.007974482,221,626,-0.526655897,3.085346216,0.003194888,221,cedar,37.70100021,-113.098999,5622,22875,49.54481328,1.207883817
CEC,1031,17.47887324,12.17724068,0.03685742,222.6964113,1033,7.195959596,3.410696266,0.014520813,222.1335915,crescent,41.78020096,-124.2369995,61,13887,52.55435685,6.287634855
CHA,4719,8.558937824,14.78855292,0.018859928,243.2731511,4717,6.27302135,3.729094828,0.000635997,243.2126351,chattanooga,35.03530121,-85.20379639,683,8656,59.72282158,4.700373444
CHO,1307,9.063041765,13.45820189,0.029839327,437.0306044,1307,5.772332016,3.645619574,0.003060444,437.0306044,charlottesville,38.1385994,-78.45290375,639,12112,56.85684647,3.726514523
CHS,12941,8.485779744,16.12472336,0.022563944,524.4334286,12941,6.089708093,6.51659292,0.001390928,525.7276872,charleston,32.89860153,-80.04049683,46,27330,66.09377593,4.037842324
CIC,1391,10.87101557,9.785608309,0.031631919,152.9288282,1390,10.99703923,3.236121392,0,153,chico,39.79539871,-121.8580017,240,13884,60.1219917,3.55846473
CID,9049,4.793068065,11.15730594,0.032268759,417.1432202,9047,3.444837018,5.098658786,0.002763347,411.9427435,cedar,41.88470078,-91.71080017,869,18468,48.23941909,3.149709544
CLD,2182,-1.766697588,8.681818182,0.011915674,86,2182,-3.540352505,3.660333642,0.00091659,86,carlsbad,33.12829971,-117.2799988,331,14259,63.47053942,0.984024896
CLE,55997,4.331456314,13.90468711,0.011036306,603.1994393,55996,1.454116669,5.799335992,0.001642974,599.8360597,cleveland,41.4117012,-81.84980011,791,22568,50.91452282,3.415311203
CLL,1076,7.354589372,7.861835749,0.038104089,164,1077,4.978805395,3.878729548,0.00185701,164,college,30.58860016,-96.36380005,320,4239,68.1253112,3.523112033
CLT,116650,7.220152223,21.12015336,0.009678526,637.6085727,116640,3.626308844,6.735539483,0.001371742,637.2156464,charlotte,35.2140007,-80.94309998,748,7152,60.70580913,3.598008299
CMH,30491,6.236876226,12.84011841,0.014168115,564.7408088,30488,4.075217709,4.693515721,0.001246392,561.4384348,columbus,39.9980011,-82.89189911,815,21652,52.86141079,3.549502075
CMI,2263,3.026978417,12.00404858,0.018117543,226.1939903,2263,7.024797115,3.898694282,0.001325674,226.1939903,champaign,40.03919983,-88.27809906,755,15692,52.12987552,3.303568465
CMX,359,7.191616766,15.06906907,0.072423398,277,357,-2.204268293,7.310447761,0.022408964,277,hancock,47.16839981,-88.4890976,1095,25076,40.96141079,2.562821577
COD,1048,-2.311523438,12.514174,0.02480916,330.3015267,1048,1.166011788,3.638671875,0.011450382,330.3015267,cody,44.52019882,-109.0240021,5102,2936,39.28838174,1.828340249
COS,13204,5.487574781,15.16376333,0.013329294,529.7698425,13205,5.560932587,6.309682357,0.002347596,530.5697084,colorado,38.80580139,-104.7009964,6187,12487,48.49626556,1.283029046
CPR,2282,0.710222222,11.2494442,0.014899211,274.3558282,2281,-0.043960924,3.337765957,0.002192021,274.4278825,casper,42.90800095,-106.4639969,5350,3074,44.306639,0.973278008
CRP,6330,3.788335203,10.13283128,0.014218009,254.0259084,6331,4.201126307,4.091507465,0.002369294,254.0175328,corpus,27.77039909,-97.50119781,44,4868,73.1219917,2.347012448
CRW,3554,8.395887634,13.25137562,0.028418683,439.7608329,3555,5.727666956,3.285343335,0.005063291,439.5620253,charleston,38.37310028,-81.59320068,981,1608,55.41120332,3.89473029
CSG,1394,8.739606127,12.62846715,0.017216643,83,1394,9.505094614,2.981077147,0,83,columbus,32.5163002,-84.93890381,397,17000,64.57385892,4.1306639
CVG,57664,7.573391906,17.08526639,0.017862098,631.5949639,57685,1.643261367,5.813553918,0.001612204,632.1210713,cincinnati,39.04880142,-84.6678009,896,22002,54.45892116,3.784937759
CWA,2898,3.574460559,10.96848442,0.025879917,241.9337474,2900,3.220572641,3.838095238,0.002413793,241.9006897,wassau,44.77759933,-89.66680145,1277,1198,42.87344398,2.765643154
DAB,2146,12.86292982,14.99717248,0.011183597,366.5358807,2149,12.58568738,3.191729323,0.002791996,366.5351326,daytona,29.179899,-81.058098,34,2220,71.93692946,4.252157676
DAL,48207,8.61192649,9.575733361,0.013566494,338.5082457,48209,1.999197805,3.701585027,0.002219503,338.212927,dallas,32.8470993,-96.85179901,487,4464,66.33692946,3.224854772
DAY,14374,6.774275618,14.0415105,0.016418533,470.450327,14369,6.430177473,5.442098574,0.001670262,469.7871807,dayton,39.90240097,-84.2193985,1009,22131,53.04273859,3.562987552
DBQ,1035,4.672032193,11.40382679,0.04057971,147,1035,1.426559356,3.509547739,0.000966184,147,dubuque,42.40200043,-90.70950317,1077,18681,47.5373444,3.306887967
DCA,79819,4.97630186,17.90825193,0.024041895,639.0805197,79822,3.089383967,5.252338127,0.002856355,638.7067099,washington,38.8521,-77.037697,15,697,56.90539419,3.717925311
DEN,235675,9.030288099,15.68883746,0.010539938,800.2742463,235700,2.738988272,8.213958898,0.002409843,796.4148579,denver,39.86169815,-104.6729965,5431,12400,51.20207469,1.22186722
DFW,264396,11.18231766,15.67417587,0.018570629,789.5246108,264398,4.636048856,9.803230798,0.004818493,789.2939773,dallas,32.89680099,-97.03800201,607,4464,66.33692946,3.224854772
DHN,1386,11.8928839,14.65468165,0.036796537,171,1385,9.779533484,3.074962519,0.00433213,171,dothan,31.32130051,-85.44960022,401,14775,66.98091286,4.49439834
DLH,1950,1.070415134,13.48631579,0.025641026,291.9041026,1952,1.460367454,5.551127425,0.00102459,291.8821721,duluth,46.84209824,-92.19360352,1428,24157,38.57178423,2.343941909
DRO,3330,4.626148194,11.67852761,0.021321321,274.8438438,3333,4.147455549,4.663099969,0.00330033,275.0147015,durango,37.1515007,-107.7539978,6685,12600,45.46680498,1.73746888
DSM,15125,5.320656227,12.39670151,0.026181818,536.7059835,15122,4.686414224,4.438849408,0.00337257,531.2173654,des,41.5340004,-93.6631012,958,18352,49.90705394,3.042572614
DTW,152081,6.774581656,20.99311036,0.00978426,573.8563857,152075,2.619279792,10.83193999,0.001348019,575.1417195,detroit,42.21239853,-83.35340118,645,24930,50.33236515,2.907759336
EGE,2188,9.596499527,16.68056872,0.035648995,652.9771481,2189,6.410722834,4.232447818,0.01142074,652.1891275,vail,39.64260101,-106.9179993,6548,12437,39.96307054,1.930912863
EKO,1416,-2.745168218,12.4123121,0.013418079,200,1416,-0.302725968,4.384120172,0.003531073,200,elko,40.82490158,-115.7919998,5140,11767,45.57095436,1.176763485
ELM,1314,2.363916731,14.06322282,0.012937595,331,1313,2.54763749,4.906707787,0.006854532,331,elmira,42.15990067,-76.89160156,954,9848,47.09834025,3.19253112
ELP,20762,4.868282045,10.39104087,0.006550429,584.0747038,20767,3.169179311,3.90207284,0.001203833,584.7605335,paso,31.80719948,-106.3779984,3959,4478,64.38257261,0.81033195
ERI,1202,2.513651877,15.30972696,0.024958403,163,1202,4.236954662,5.41773231,0.004159734,163,erie,42.08312701,-80.17386675,732,10771,48.1746888,3.99186722
EUG,5060,4.74491018,11.04815185,0.011264822,460.3539526,5059,1.789106145,3.605698346,0.002174343,460.2812809,eugene,44.12459946,-123.211998,374,28146,50.15892116,5.193817427
EVV,4761,3.055507745,10.8776435,0.026675068,330.8388994,4761,1.914371773,4.20790378,0.002520479,330.8767066,evansville,38.03699875,-87.53240204,418,18072,56.90746888,4.10373444
EWN,978,8.386458333,9.333333333,0.018404908,433,979,7.551616267,2.679460581,0.006128703,433,new,35.07300186,-77.04290009,18,7342,62.57012448,4.57526971
EWR,118602,14.27978778,26.39158095,0.024611727,1001.807246,118602,17.17324626,9.171450811,0.004089307,1008.077781,newark,40.69250107,-74.16870117,18,3314,53.65394191,4.128921162
EYW,1100,17.31313131,9.545454545,0.01,642.9072727,1099,15.37177122,2.984375,0.007279345,642.9044586,key,24.55610085,-81.75959778,3,2477,76.7373444,4.099709544
FAR,4319,3.005633803,14.31020696,0.01597592,482.9694374,4318,3.548568747,4.699179367,0.000694766,483.1028254,fargo,46.92070007,-96.81580353,902,7546,41.90705394,1.894647303
FAT,12319,5.701805998,10.96354422,0.007143437,382.2102443,12317,2.055773314,4.378049776,0.000730697,382.4548185,fresno,36.77619934,-119.7180023,336,14036,56.24522822,1.530912863
FAY,3063,12.56562605,12.44791667,0.028403526,315.2144956,3062,11.76616415,4.30995324,0.003919007,315.2093403,fayetteville,34.99119949,-78.88030243,189,7223,62.24232365,3.900248963
FCA,2161,0.63251048,13.53426573,0.00740398,647.3336418,2161,1.999067164,4.021870638,0.004164739,647.0559926,kalispell,48.3105011,-114.2559967,2977,26476,40.50995851,2.935228216
FLG,1638,1.209170854,16.24968553,0.029304029,119,1640,0.289028213,6.269881027,0.001219512,119,flagstaff,35.13850021,-111.6709976,7014,19774,53.63651452,1.030995851
FLL,62267,9.786965232,16.73000048,0.006166991,927.0040631,62272,5.202998753,5.084203212,0.002103674,926.7919611,fort,26.07259941,-80.15270233,9,2838,75.91493776,4.699004149
FLO,722,6.361971831,12.24435028,0.019390582,273,722,10.62200282,4.384507042,0.001385042,273,florence,34.1853981,-79.72389984,146,27416,64.07219917,3.844273859
FNT,7906,5.681393264,12.00960676,0.012775108,450.7490514,7909,7.442027131,4.329372684,0.00214945,448.4924769,flint,42.9654007,-83.74359894,782,25073,48.19253112,2.857634855
FSD,5203,4.569498825,14.35280282,0.019796271,428.8147223,5204,4.047675103,5.077088632,0.002690238,428.9175634,sioux,43.58200073,-96.74189758,1429,28664,45.93236515,2.34813278
FSM,2417,3.58372591,9.232847341,0.035167563,254.0790236,2416,4.587907376,3.971758665,0.002897351,254.0811258,fort,35.33660126,-94.36740112,469,15025,61.2593361,4.218008299
FWA,5292,6.048237117,12.96550388,0.024943311,308.0663265,5293,4.967922705,4.435679846,0.002456074,308.1056112,fort,40.97850037,-85.19509888,814,17806,50.53319502,3.314896266
GCC,1430,0.827385288,13.44606414,0.041258741,324.948951,1437,1.276611151,4.174132948,0.006263048,324.6360473,gillette,44.34889984,-105.5390015,4365,3052,45.17925311,1.234356846
GEG,12584,3.218697429,12.06908712,0.008582327,547.973061,12588,1.761198814,4.571462849,0.002621544,547.0808707,spokane,47.61989975,-117.5339966,2376,317,47.07717842,1.689170124
GFK,1131,1.360759494,12.12058024,0.024756852,284,1129,1.274047187,4.140271493,0.004428698,284,grand,47.949299,-97.176102,845,7511,40.31286307,1.820580913
GGG,727,4.840974212,8.180515759,0.039889959,140,728,8.648997135,4.673352436,0,140,longview,32.38399887,-94.71150208,365,4687,65.70829876,3.894564315
GJT,5431,3.768253968,11.81154277,0.014361996,343.3349291,5424,2.199552406,3.661761967,0.00129056,343.5307891,grand,39.12239838,-108.5270004,4858,12411,48.16929461,1.366514523
GNV,2416,12.54173693,13.54180743,0.01986755,300,2416,10.58491361,3.148023549,0.002483444,300,gainesville,29.69009972,-82.27179718,152,2686,69.73485477,4.302572614
GPT,6588,5.302820157,12.18739405,0.015027322,383.4338191,6588,5.176407093,4.426022762,0.003642987,383.4344262,gulfport,30.40730095,-89.07009888,28,26618,67.13526971,5.340414938
GRB,6262,4.314826911,11.36666667,0.022676461,203.0300224,6262,3.360071884,4.041415294,0.002395401,202.3518045,green,44.48509979,-88.12960052,695,961,45.06182573,2.807676349
GRK,1938,9.122611465,9.076473712,0.028379773,379.0928793,1940,9.700052994,3.906927552,0.004123711,379.2092784,killeen,31.06719971,-97.8289032,1015,4705,67.27385892,2.934522822
GRR,13973,5.014231775,14.16020935,0.015529951,362.1346883,13970,4.79883594,4.277273717,0.002576951,369.2082319,grand,42.88079834,-85.52279663,794,25442,48.01161826,3.19659751
GSO,10085,9.928911875,16.03987014,0.022706991,518.8588994,10084,8.196162047,4.391119221,0.00198334,518.9502182,greensboro,36.09780121,-79.93730164,925,7383,59.1406639,3.711161826
GSP,10168,7.172204828,15.2654733,0.027734068,471.2561959,10169,5.62238821,3.610043273,0.003146819,471.399646,greenville,34.89569855,-82.21890259,964,27411,60.54771784,4.387593361
GTF,1823,-0.560488346,10.97609783,0.014262205,533.3878223,1824,0.975609756,4.300331858,0.004385965,533.1321272,great,47.48199844,-111.3710022,3680,26259,43.52946058,1.40780083
GTR,771,11.16358839,12.79260238,0.018158236,241,770,8.863936592,3.398943197,0,241,columbus,33.45029831,-88.59140015,264,26667,63.45435685,4.64846473
GUC,1200,7.255593804,11.88372093,0.0325,237.9558333,1200,3.566983578,3.031869078,0.006666667,237.9558333,gunnison,38.53390121,-106.9329987,7680,12521,38.85809129,1.842282158
HDN,1726,7.843195266,16.60059172,0.020857474,442.6517961,1725,6.264128495,4.25044405,0.007536232,442.1315942,hayden,40.48120117,-107.2180023,6606,12648,40.31825726,2.104564315
HLN,1999,-0.222390318,11.91262626,0.010005003,515.6323162,1996,-1.577486118,3.425907258,0.001503006,515.8652305,helena,46.60680008,-111.9830017,3877,26412,41.32323651,1.836473029
HOU,52832,10.43624548,8.953350639,0.015729104,583.5385183,52832,2.091735505,5.170602159,0.004145215,583.3314279,houston,29.64539909,-95.27890015,46,5553,69.92489627,4.438174274
HPN,10657,7.464142283,15.05462024,0.019048513,878.1684339,10661,5.006544125,5.67769069,0.009192383,878.0538411,white,41.06700134,-73.70760345,439,9666,52.27012448,4.080912863
HRL,4872,3.842314119,7.932330827,0.017241379,275.0942118,4874,3.4055812,2.828062827,0.002667214,275.1906032,harlingen,26.22850037,-97.65440369,36,5241,75.06099585,2.077136929
HSV,10774,6.004921912,15.43042531,0.020326712,411.1899016,10780,6.344514788,5.417538897,0.002040816,411.2218924,huntsville,34.6371994,-86.77510071,629,14867,60.75518672,4.768423237
HTS,222,1.506976744,11.31627907,0.031531532,123,219,5.976415094,4.504716981,0,123,huntington,38.36669922,-82.55799866,828,1798,55.79792531,3.797676349
IAD,66361,8.931223428,18.60979621,0.019770648,932.8737662,66413,2.41167508,7.1023691,0.001821932,909.7162303,washington,38.94449997,-77.45580292,312,20580,55.25477178,3.724232365
IAH,182097,6.328367525,17.88870411,0.006243925,821.0757124,182088,2.364741861,8.207530479,0.003844295,820.6380871,houston,29.9843998,-95.34140015,97,5553,69.92489627,4.438174274
ICT,13266,5.217806531,12.38152115,0.021935776,580.1582994,13263,5.387946979,5.18490624,0.003091307,580.1115886,wichita,37.64989853,-97.43309784,1333,25976,57.45186722,2.900082988
IDA,2925,0.051885161,12.73252595,0.011965812,298.2376068,2924,2.739100346,4.078092605,0.002735978,298.0184679,idaho,43.51459885,-112.0709991,4744,19872,42.36390041,1.762987552
ILM,3481,10.93994169,12.44431487,0.014650962,320.5196783,3484,9.500291545,4.080034924,0.002870264,320.4029851,wilmington,34.27059937,-77.90260315,32,7017,63.52655602,4.667717842
IND,38201,6.863323083,14.05199077,0.013350436,626.6744326,38198,1.626726153,5.865728222,0.001832557,633.7026546,indianapolis,39.7173,-86.294403,797,17945,52.49253112,3.75219917
IPL,689,-2.518950437,10.20699708,0.004354136,160.1132075,690,-4.617518248,3.42919708,0,159.9652174,imperial,32.83420181,-115.5790024,-54,14289,74.45103734,0.23526971
ISP,8869,6.942281421,8.579804189,0.009583944,841.6680573,8868,2.783209595,4.27524189,0.00428507,842.4121561,islip,40.79520035,-73.10019684,99,8954,52.64273859,3.827676349
ITH,404,7.426701571,20.13350785,0.054455446,353,404,7.744125326,8.403100775,0.012376238,353,ithaca,42.49100113,-76.45839691,1099,9390,46.70705394,3.412074689
IYK,946,-4.782092772,10.00863931,0.021141649,123,947,-4.964554243,4.032223416,0,123,inyokern,35.65879822,-117.8300018,2457,12874,62.53858921,0.670995851
JAC,3691,4.106866002,15.91738287,0.02275806,503.5906258,3688,6.118795315,3.508324084,0.00813449,524.4598698,jacksn,43.6072998,-110.737999,6451,3098,35.5780083,2.911078838
JAN,12530,8.062753036,10.98751621,0.01556265,430.4707901,12528,6.557508505,4.245429542,0.001596424,430.0900383,jackson,32.31119919,-90.07589722,346,26692,65.32282158,4.735684647
JAX,28810,7.205526952,13.67788057,0.009580007,578.327664,28813,5.040308447,5.190744368,0.002186513,580.929511,jacksonville,30.49410057,-81.68789673,30,2646,69.48381743,4.027676349
JFK,119574,10.05594943,32.16706558,0.021735494,1091.399359,119571,8.077175966,10.61437142,0.003111122,1094.91569,new,40.63980103,-73.77890015,13,9715,54.26473029,3.873609959
LAN,2864,1.988538682,13.93729846,0.025488827,123.6791201,2865,3.051089675,3.416993931,0.00104712,123.9277487,lansing,42.77870178,-84.58740234,861,25114,48.07053942,2.978962656
LAS,153993,7.343780825,14.73111451,0.006175605,927.0610093,153984,0.357810641,6.48658288,0.000902691,926.9081853,las,36.08010101,-115.1520004,2181,11731,65.1780083,0.579585062
LAW,323,3.420711974,9.511326861,0.043343653,429.8575851,322,-1.876623377,2.886363636,0,428.6956522,lawton,34.56769943,-98.41660309,1110,20969,62.193361,2.561410788
LAX,192879,5.793009796,13.95018632,0.009617429,1032.283634,192916,0.566473595,8.390613544,0.000984885,1032.669535,los,33.94250107,-118.4079971,125,14121,62.33319502,1.121120332
LBB,8002,6.890821379,9.163957328,0.01612097,361.9192702,8004,5.467420297,3.678458222,0.002248876,361.922039,lubbock,33.66360092,-101.822998,3282,4689,61.10995851,1.611327801
LCH,1168,2.912402428,11.73026886,0.012842466,185.109589,1170,9.682842288,4.25021645,0.001709402,185.1538462,lake,30.12610054,-93.22329712,15,6254,68.54107884,5.14846473
LEX,8394,7.269023073,14.01191207,0.030021444,415.1532047,8389,6.591037101,4.386327504,0.001192037,415.1195613,lexington,38.03649902,-84.60590363,979,27657,55.43319502,4.277136929
LFT,5131,4.496133254,12.45952381,0.017735334,306.2276359,5134,5.979381443,4.816023739,0.002337359,306.1959486,lafayette,30.20529938,-91.98760223,42,6201,68.62282158,5.102033195
LGA,100334,8.470173474,26.63845842,0.039826978,714.8702334,100323,10.1119227,7.871528463,0.005552067,718.528174,new,40.77719879,-73.87259674,21,9730,55.21576763,4.036016598
LGB,14529,3.566804979,13.8946604,0.004955606,937.0273247,14533,0.606016497,5.299633497,0.00254593,936.939861,long,33.81769943,-118.1520004,60,13639,62.33319502,1.121120332
LIT,17359,9.193311154,11.51950251,0.013537646,453.7561495,17362,7.691917425,4.798858607,0.001439926,453.9919364,little,34.72940063,-92.22429657,262,15048,62.07012448,4.539626556
LMT,1452,15.45620182,10.30633803,0.024104683,277.5,1452,7.906732118,3.430769231,0.004820937,277.5,klamath,42.15610123,-121.7330017,4095,28269,44.8219917,2.17473029
LNK,2765,4.941262849,10.49834498,0.016636528,463.1146474,2765,5.057205721,4.460270963,0.001808318,463.0119349,lincoln,40.85100174,-96.75920105,1219,8274,51.76348548,2.62746888
LRD,2549,6.579010856,10.16572808,0.024715575,353.289133,2550,6.463365539,3.53935743,0.003921569,353.2686275,laredo,27.54380035,-99.46160126,508,5820,73.0186722,1.765062241
LSE,2313,1.850088968,10.78193146,0.028534371,212.0064851,2316,2.698848539,3.717256637,0.000863558,212.0151123,crosse,43.879002,-91.256699,655,1259,45.99543568,3.102116183
LWB,58,28.39655172,14.63793103,0,363.9137931,57,17.59649123,3.263157895,0,369,lewisburg,37.85829926,-80.39949799,2302,1720,50.60041494,3.909917012
LWS,606,1.033112583,11.42880795,0.00330033,460.3861386,605,-0.1910299,4.971807629,0.001652893,461,lewiston,46.37450027,-117.0149994,1442,19861,49.10705394,1.794854772
