Lauderdale County, Mississippi, Average Temperature
201208,78.7,-1.2
201209,73.5,-1.4
201210,62.3,-1.7
201211,51.3,-2.4
201212,50.8,3.7
201301,49.6,3.9
201302,48.4,-0.4
201303,50.6,-5.2
201304,62.2,-1.2
201305,68.5,-2.5
201306,78.5,0.6
201307,78.6,-1.7
201308,78.9,-1.0
201309,75.6,0.7
201310,65.3,1.3
201311,50.8,-2.9
201312,47.6,0.5
201401,38.0,-7.7
201402,47.1,-1.7
201403,53.0,-2.8
201404,62.5,-0.9
201405,70.6,-0.4
201406,78.3,0.4
201407,77.8,-2.5
201408,79.9,0.0
201409,76.8,1.9
201410,66.3,2.3
201411,49.1,-4.6
201412,50.1,3.0
201501,44.2,-1.5
201502,42.7,-6.1
201503,58.5,2.7
201504,66.5,3.1
201505,71.9,0.9
201506,78.7,0.8
201507,82.2,1.9
201508,80.3,0.4
201509,75.5,0.6
201510,65.9,1.9
201511,59.1,5.4
201512,56.7,9.6
201601,44.3,-1.4
201602,51.0,2.2
201603,59.7,3.9
201604,64.6,1.2
201605,70.8,-0.2
201606,79.7,1.8
201607,82.0,1.7
201608,82.1,2.2
201609,79.0,4.1
201610,68.7,4.7
201611,57.4,3.7
201612,49.5,2.4
201701,54.6,8.9
201702,58.1,9.3
201703,60.3,4.5
201704,68.0,4.6
201705,71.1,0.1
201706,77.3,-0.6
201707,81.9,1.6
201708,80.2,0.3
201709,75.0,0.1
201710,67.2,3.2
201711,57.2,3.5
201712,47.2,0.1
201801,41.6,-4.1
201802,59.6,10.8
201803,58.0,2.2
201804,60.7,-2.7
201805,76.2,5.2
201806,81.4,3.5
201807,82.5,2.2
201808,81.3,1.4
201809,80.5,5.6
201810,68.8,4.8
201811,51.4,-2.3
201812,50.3,3.2
201901,47.3,1.6
201902,57.1,8.3
201903,56.1,0.3
201904,64.4,1.0
201905,75.0,4.0
201906,79.3,1.4
201907,81.4,1.1
201908,82.0,2.1
201909,81.1,6.2
201910,68.2,4.2
201911,51.4,-2.3
201912,52.2,5.1
202001,50.8,5.1
