Beaver County, Pennsylvania, Average Temperature
201209,63.2,-0.6
201210,53.2,0.9
201211,39.3,-1.6
201212,37.6,6.7
201301,30.3,2.9
201302,28.2,-0.8
201303,34.8,-3.3
201304,50.4,1.7
201305,60.6,1.2
201306,68.1,0.2
201307,72.2,0.1
201308,68.7,-1.4
201309,62.8,-1.0
201310,54.6,2.3
201311,38.7,-2.2
201312,32.6,1.7
201401,20.3,-7.1
201402,24.6,-4.4
201403,32.2,-5.9
201404,49.4,0.7
201405,60.5,1.1
201406,68.8,0.9
201407,68.6,-3.5
201408,69.0,-1.1
201409,63.5,-0.3
201410,53.3,1.0
201411,37.6,-3.3
201412,35.7,4.8
201501,24.3,-3.1
201502,16.7,-12.3
201503,34.1,-4.0
201504,50.6,1.9
201505,63.6,4.2
201506,68.2,0.3
201507,70.6,-1.5
201508,69.6,-0.5
201509,68.3,4.5
201510,52.9,0.6
201511,47.3,6.4
201512,43.6,12.7
201601,25.9,-1.5
201602,32.4,3.4
201603,45.3,7.2
201604,49.0,0.3
201605,58.8,-0.6
201606,69.4,1.5
201607,73.6,1.5
201608,75.2,5.1
201609,68.4,4.6
201610,55.6,3.3
201611,44.2,3.3
201612,32.1,1.2
201701,33.6,6.2
201702,38.8,9.8
201703,39.2,1.1
201704,55.0,6.3
201705,58.6,-0.8
201706,67.8,-0.1
201707,72.5,0.4
201708,68.7,-1.4
201709,64.8,1.0
201710,56.8,4.5
201711,40.4,-0.5
201712,29.6,-1.3
201801,22.9,-4.5
201802,36.2,7.2
201803,34.1,-4.0
201804,44.4,-4.3
201805,65.5,6.1
201806,68.4,0.5
201807,72.8,0.7
201808,72.5,2.4
201809,68.6,4.8
201810,52.7,0.4
201811,37.2,-3.7
201812,34.4,3.5
201901,27.4,0.0
201902,32.2,3.2
201903,35.9,-2.2
201904,51.8,3.1
201905,61.8,2.4
201906,66.7,-1.2
201907,73.6,1.5
201908,70.6,0.5
201909,67.4,3.6
201910,55.4,3.1
201911,37.4,-3.5
201912,35.3,4.4
202001,34.0,6.6
