Nome Census Area, Alaska, Average Temperature
201207,50.7,-0.3
201208,48.1,-0.5
201209,38.0,-2.3
201210,28.6,2.6
201211,8.4,-4.5
201212,-1.5,-3.8
201301,10.4,9.8
201302,-4.2,-3.7
201303,6.2,1.5
201304,12.1,-4.6
201305,28.2,-5.4
201306,50.8,4.5
201307,52.5,1.5
201308,50.9,2.3
201309,37.6,-2.7
201310,35.0,9.0
201311,15.7,2.8
201312,9.6,7.3
201401,18.4,17.8
201402,7.1,7.6
201403,11.0,6.3
201404,25.1,8.4
201405,35.8,2.2
201406,45.9,-0.4
201407,50.8,-0.2
201408,54.5,5.9
201409,42.8,2.5
201410,27.1,1.1
201411,23.2,10.3
201412,13.3,11.0
201501,4.3,3.7
201502,10.9,11.4
201503,5.0,0.3
201504,21.0,4.3
201505,41.2,7.6
201506,48.8,2.5
201507,54.7,3.7
201508,47.4,-1.2
201509,37.9,-2.4
201510,32.8,6.8
201511,19.1,6.2
201512,6.9,4.6
201601,18.1,17.5
201602,12.4,12.9
201603,9.8,5.1
201604,30.6,13.9
201605,41.5,7.9
201606,49.8,3.5
201607,53.1,2.1
201608,53.2,4.6
201609,41.6,1.3
201610,35.1,9.1
201611,13.4,0.5
201612,8.6,6.3
201701,3.1,2.5
201702,-0.5,0.0
201703,-0.8,-5.5
201704,28.5,11.8
201705,37.5,3.9
201706,51.6,5.3
201707,55.2,4.2
201708,48.3,-0.3
201709,41.2,0.9
201710,31.6,5.6
201711,21.0,8.1
201712,21.2,18.9
201801,4.3,3.7
201802,14.0,14.5
201803,16.4,11.7
201804,24.4,7.7
201805,36.2,2.6
201806,50.6,4.3
201807,54.6,3.6
201808,49.6,1.0
201809,46.0,5.7
201810,36.3,10.3
201811,21.4,8.5
201812,4.4,2.1
201901,6.0,5.4
201902,17.7,18.2
201903,24.1,19.4
201904,23.6,6.9
201905,40.6,7.0
201906,53.9,7.6
201907,56.5,5.5
201908,50.4,1.8
201909,44.2,3.9
201910,31.7,5.7
201911,17.8,4.9
201912,4.1,1.8
202001,-5.0,-5.6
