Gadsden County, Florida, Average Temperature
201208,79.6,-0.7
201209,76.7,-0.6
201210,68.0,0.0
201211,56.8,-1.7
201212,55.5,3.2
201301,58.3,7.0
201302,54.7,1.1
201303,54.0,-5.8
201304,66.5,0.2
201305,71.6,-2.2
201306,80.6,1.5
201307,78.9,-1.7
201308,80.2,-0.1
201309,78.4,1.1
201310,68.9,0.9
201311,59.8,1.3
201312,57.3,5.0
201401,46.3,-5.0
201402,55.2,1.6
201403,58.1,-1.7
201404,66.6,0.3
201405,73.8,0.0
201406,79.9,0.8
201407,80.3,-0.3
201408,82.7,2.4
201409,77.9,0.6
201410,68.1,0.1
201411,53.4,-5.1
201412,56.0,3.7
201501,51.0,-0.3
201502,48.8,-4.8
201503,64.8,5.0
201504,72.4,6.1
201505,76.5,2.7
201506,80.8,1.7
201507,83.5,2.9
201508,82.3,2.0
201509,77.6,0.3
201510,70.3,2.3
201511,67.2,8.7
201512,63.5,11.2
201601,50.2,-1.1
201602,53.9,0.3
201603,64.4,4.6
201604,68.0,1.7
201605,74.4,0.6
201606,81.1,2.0
201607,83.2,2.6
201608,81.8,1.5
201609,79.9,2.6
201610,71.4,3.4
201611,62.6,4.1
201612,59.0,6.7
201701,57.7,6.4
201702,61.3,7.7
201703,62.7,2.9
201704,69.5,3.2
201705,73.4,-0.4
201706,77.7,-1.4
201707,81.1,0.5
201708,81.3,1.0
201709,76.7,-0.6
201710,70.8,2.8
201711,61.1,2.6
201712,54.2,1.9
201801,47.2,-4.1
201802,64.2,10.6
201803,58.8,-1.0
201804,65.0,-1.3
201805,76.1,2.3
201806,81.0,1.9
201807,81.3,0.7
201808,80.4,0.1
201809,81.1,3.8
201810,72.7,4.7
201811,58.5,0.0
201812,55.4,3.1
201901,52.1,0.8
201902,62.5,8.9
201903,60.6,0.8
201904,67.0,0.7
201905,77.7,3.9
201906,81.2,2.1
201907,81.7,1.1
201908,82.2,1.9
201909,81.9,4.6
201910,74.1,6.1
201911,57.7,-0.8
201912,57.0,4.7
202001,56.4,5.1
