Lauderdale County, Alabama, Average Temperature
201208,77.1,-0.6
201209,70.2,-1.7
201210,58.3,-2.0
201211,47.6,-1.5
201212,47.3,5.9
201301,43.9,4.5
201302,43.4,1.0
201303,45.6,-4.8
201304,58.8,-0.7
201305,66.4,-1.3
201306,75.8,0.4
201307,76.1,-2.6
201308,76.0,-1.7
201309,72.6,0.7
201310,61.4,1.1
201311,46.2,-2.9
201312,42.0,0.6
201401,32.9,-6.5
201402,40.7,-1.7
201403,47.5,-2.9
201404,58.9,-0.6
201405,68.9,1.2
201406,75.9,0.5
201407,74.3,-4.4
201408,76.8,-0.9
201409,72.8,0.9
201410,62.5,2.2
201411,44.7,-4.4
201412,44.8,3.4
201501,38.6,-0.8
201502,34.6,-7.8
201503,51.7,1.3
201504,61.9,2.4
201505,68.6,0.9
201506,77.5,2.1
201507,80.0,1.3
201508,75.8,-1.9
201509,72.0,0.1
201510,61.9,1.6
201511,55.4,6.3
201512,52.4,11.0
201601,38.0,-1.4
201602,45.2,2.8
201603,55.9,5.5
201604,61.2,1.7
201605,67.1,-0.6
201606,77.9,2.5
201607,80.8,2.1
201608,79.8,2.1
201609,75.7,3.8
201610,66.6,6.3
201611,54.2,5.1
201612,44.0,2.6
201701,48.1,8.7
201702,51.6,9.2
201703,53.4,3.0
201704,64.8,5.3
201705,67.2,-0.5
201706,74.2,-1.2
201707,79.6,0.9
201708,75.9,-1.8
201709,69.8,-2.1
201710,61.7,1.4
201711,51.6,2.5
201712,41.1,-0.3
201801,35.9,-3.5
201802,51.7,9.3
201803,50.5,0.1
201804,54.9,-4.6
201805,73.6,5.9
201806,77.6,2.2
201807,79.4,0.7
201808,78.6,0.9
201809,76.8,4.9
201810,63.4,3.1
201811,46.0,-3.1
201812,44.8,3.4
201901,41.5,2.1
201902,49.5,7.1
201903,49.4,-1.0
201904,60.9,1.4
201905,71.8,4.1
201906,75.6,0.2
201907,79.6,0.9
201908,78.8,1.1
201909,78.6,6.7
201910,63.1,2.8
201911,46.4,-2.7
201912,48.0,6.6
202001,45.4,6.0
