Griggs County, North Dakota, Average Temperature
201208,65.9,-0.5
201209,57.2,1.3
201210,40.4,-3.0
201211,25.7,0.7
201212,11.2,1.1
201301,7.7,4.3
201302,11.6,2.3
201303,13.8,-9.6
201304,29.1,-11.3
201305,53.3,-0.3
201306,64.5,1.5
201307,69.0,0.3
201308,68.0,1.6
201309,61.4,5.5
201310,41.6,-1.8
201311,24.7,-0.3
201312,2.2,-7.9
201401,3.2,-0.2
201402,2.5,-6.8
201403,19.8,-3.6
201404,36.8,-3.6
201405,53.8,0.2
201406,63.8,0.8
201407,66.8,-1.9
201408,66.7,0.3
201409,57.5,1.6
201410,45.6,2.2
201411,19.3,-5.7
201412,15.0,4.9
201501,12.8,9.4
201502,3.7,-5.6
201503,30.3,6.9
201504,43.6,3.2
201505,52.8,-0.8
201506,65.1,2.1
201507,69.3,0.6
201508,66.8,0.4
201509,61.9,6.0
201510,47.0,3.6
201511,32.4,7.4
201512,18.6,8.5
201601,11.5,8.1
201602,21.4,12.1
201603,35.1,11.7
201604,39.7,-0.7
201605,57.0,3.4
201606,65.3,2.3
201607,68.0,-0.7
201608,66.5,0.1
201609,58.3,2.4
201610,45.3,1.9
201611,38.8,13.8
201612,10.3,0.2
201701,10.4,7.0
201702,19.2,9.9
201703,25.0,1.6
201704,42.2,1.8
201705,54.2,0.6
201706,64.8,1.8
201707,70.2,1.5
201708,64.6,-1.8
201709,58.2,2.3
201710,45.0,1.6
201711,23.7,-1.3
201712,14.1,4.0
201801,9.6,6.2
201802,4.8,-4.5
201803,23.8,0.4
201804,32.0,-8.4
201805,60.5,6.9
201806,67.8,4.8
201807,68.9,0.2
201808,66.7,0.3
201809,55.4,-0.5
201810,38.2,-5.2
201811,20.5,-4.5
201812,18.7,8.6
201901,5.4,2.0
201902,-2.7,-12.0
201903,18.4,-5.0
201904,40.6,0.2
201905,49.6,-4.0
201906,64.3,1.3
201907,69.3,0.6
201908,63.8,-2.6
201909,58.4,2.5
201910,37.2,-6.2
201911,24.8,-0.2
201912,11.8,1.7
202001,9.0,5.6
