Woodbury County, Iowa, Average Temperature
201209,63.0,0.1
201210,47.4,-3.6
201211,38.4,3.5
201212,25.5,3.6
201301,20.7,3.5
201302,25.0,2.6
201303,30.2,-4.1
201304,42.5,-5.6
201305,57.7,-2.2
201306,68.8,-0.5
201307,72.7,-1.5
201308,72.1,0.5
201309,67.2,4.3
201310,50.0,-1.0
201311,33.5,-1.4
201312,17.4,-4.5
201401,16.9,-0.3
201402,17.1,-5.3
201403,31.6,-2.7
201404,48.3,0.2
201405,60.4,0.5
201406,70.0,0.7
201407,69.3,-4.9
201408,71.3,-0.3
201409,62.8,-0.1
201410,52.4,1.4
201411,30.0,-4.9
201412,27.4,5.5
201501,22.7,5.5
201502,17.3,-5.1
201503,40.0,5.7
201504,51.6,3.5
201505,59.0,-0.9
201506,70.2,0.9
201507,72.4,-1.8
201508,69.4,-2.2
201509,67.9,5.0
201510,54.0,3.0
201511,41.1,6.2
201512,30.1,8.2
201601,19.6,2.4
201602,29.5,7.1
201603,43.0,8.7
201604,50.5,2.4
201605,59.7,-0.2
201606,74.5,5.2
201607,73.9,-0.3
201608,72.4,0.8
201609,66.8,3.9
201610,54.2,3.2
201611,44.3,9.4
201612,22.6,0.7
201701,23.6,6.4
201702,33.6,11.2
201703,38.5,4.2
201704,49.5,1.4
201705,58.4,-1.5
201706,71.8,2.5
201707,76.2,2.0
201708,68.0,-3.6
201709,66.0,3.1
201710,51.7,0.7
201711,36.5,1.6
201712,24.1,2.2
201801,17.6,0.4
201802,17.5,-4.9
201803,36.4,2.1
201804,39.8,-8.3
201805,65.9,6.0
201806,73.4,4.1
201807,72.8,-1.4
201808,70.7,-0.9
201809,65.7,2.8
201810,47.1,-3.9
201811,30.2,-4.7
201812,26.2,4.3
201901,20.8,3.6
201902,13.5,-8.9
201903,31.4,-2.9
201904,48.4,0.3
201905,55.8,-4.1
201906,69.9,0.6
201907,74.3,0.1
201908,70.0,-1.6
201909,68.6,5.7
201910,45.9,-5.1
201911,32.9,-2.0
201912,27.0,5.1
202001,22.2,5.0
